id,name,vintage,country,winery,grapes,rating,price,acidity,intensity,sweetness,tannin,flavor_rank1,flavor_rank2,flavor_rank3
2446729,Masseto Toscana 2005,2005,Italie,Masseto,Cabernet Sauvignon;Merlot;Sangiovese;Canaiolo nero,4.8,2138.75,3.0988343,3.625233,1.9874685,3.1429722,oak,black_fruit,earth
1286354,Domaine de La Romanée-Conti Grands-Échezeaux Grand Cru 2015,2015,France,Domaine de La Romanée-Conti,Pinot Noir,4.8,9330.55,4.0394444,2.9895425,2.0131614,2.5667324,red_fruit,earth,oak
83911,Domaine de La Romanée-Conti La Tâche Grand Cru 2008,2008,France,Domaine de La Romanée-Conti,Pinot Noir,4.8,11391.6,4.054916,3.045306,1.9423417,2.6161292,earth,red_fruit,black_fruit
83920,Domaine de La Romanée-Conti Romanée-Saint-Vivant Grand Cru (Marey-Monge) 2015,2015,France,Domaine de La Romanée-Conti,Pinot Noir,4.8,4949,4.0988355,3.0284634,1.9136521,2.5932517,red_fruit,earth,oak
83917,Domaine de La Romanée-Conti Échezeaux Grand Cru 2015,2015,France,Domaine de La Romanée-Conti,Pinot Noir,4.8,8812.19,4.100403,3.0412056,1.9913352,2.6033843,red_fruit,earth,oak
83913,Domaine de La Romanée-Conti Richebourg Grand Cru 2003,2003,France,Domaine de La Romanée-Conti,Pinot Noir,4.8,5900,4.072962,3.0422614,2.020922,2.6022687,earth,red_fruit,black_fruit
13563,Henschke Hill of Grace 2001,2001,Australie,Henschke,Syrah,4.8,3000,3.0847788,4.4895325,2.1557078,3.0874221,black_fruit,oak,spices
8023,Colgin IX Estate Red 2016,2016,États-Unis,Colgin,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot,4.8,750,3.824175,4.7629423,1.8468812,3.630438,oak,black_fruit,earth
1187886,Quintarelli Giuseppe Amarone della Valpolicella Classico Riserva 2003,2003,Italie,Quintarelli Giuseppe,Corvina;Rondinella;Corvinone,4.8,847.55,2.381816,4.775424,3.4707408,2.3240502,oak,earth,black_fruit
83913,Domaine de La Romanée-Conti Richebourg Grand Cru 2013,2013,France,Domaine de La Romanée-Conti,Pinot Noir,4.8,5437,4.072962,3.0422614,2.020922,2.6022687,earth,red_fruit,black_fruit
6091368,Ordóñez Vatan Arena Tinta de Toro 2014,2014,Espagne,Ordóñez,Tempranillo,4.8,369.05,3.011771,4.6084547,1.7338369,3.6765277,oak,black_fruit,non_oak
67064,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2017,2017,Espagne,Álvaro Palacios,Syrah;Cabernet Sauvignon;Grenache;Carignan,4.8,1263.52,3.4764082,4.4486485,1.86717,3.3374186,oak,black_fruit,earth
67064,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2019,2019,Espagne,Álvaro Palacios,Syrah;Cabernet Sauvignon;Grenache;Carignan,4.8,1800,3.4764082,4.4486485,1.86717,3.3374186,oak,black_fruit,earth
6534388,Tenuta Fratini Fratini Bolgheri Superiore 2017,2017,Italie,Tenuta Fratini,Cabernet Sauvignon;Merlot;Sangiovese,4.8,452.5,3.3712652,4.0293975,1.4765662,3.7707832,oak,red_fruit,black_fruit
1450977,Teso La Monja Tinto 2015,2015,Espagne,Teso La Monja,Tempranillo,4.8,1289.44,2.7771323,4.082235,1.7708567,3.3378398,oak,earth,black_fruit
1450977,Teso La Monja Tinto 2017,2017,Espagne,Teso La Monja,Tempranillo,4.8,1321.83,2.7771323,4.082235,1.7708567,3.3378398,oak,earth,black_fruit
1099307,Château Lafleur Pomerol 2009,2009,France,Château Lafleur,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.8,1851.8,3.3762066,4.0857434,1.8092881,3.559639,earth,oak,black_fruit
100677,Jacques-Frederic Mugnier Musigny Grand Cru 2014,2014,France,Jacques-Frederic Mugnier,Pinot Noir,4.8,2760,4.0328946,2.9690697,1.8817647,2.533194,red_fruit,earth,oak
1622488,Domaine G. Roumier Bonnes-Mares Grand Cru 2016,2016,France,Domaine G. Roumier,Pinot Noir,4.8,2591.82,4.151589,3.1375227,2.093801,2.7616076,earth,red_fruit,black_fruit
9045156,Cuentaviñas El Tiznado 2018,2018,Espagne,Cuentaviñas,Tempranillo;Graciano;Garnacha,4.8,203,3.9535034,3.8306515,1.2784317,3.7857635,red_fruit,,
1873808,Colgin Cariad 2017,2017,États-Unis,Colgin,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot,4.8,695,3.7435992,4.4898324,1.8466517,3.4902017,oak,black_fruit,earth
77137,Vega Sicilia Unico (Gran Reserva) 2022,2022,Espagne,Vega Sicilia,Tempranillo,4.7,544.3,3.6914136,3.8389153,1.7930348,3.413464,oak,earth,black_fruit
77137,Vega Sicilia Unico (Gran Reserva) 2023,2023,Espagne,Vega Sicilia,Tempranillo,4.7,578,3.6914136,3.8389153,1.7930348,3.413464,oak,earth,black_fruit
1166837,Château Pétrus Pomerol 2022,2022,France,Château Pétrus,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,5904.32,3.375261,4.1251116,1.971177,3.4467273,oak,earth,black_fruit
1166837,Château Pétrus Pomerol 1954,1954,France,Château Pétrus,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,2990,3.375261,4.1251116,1.971177,3.4467273,oak,earth,black_fruit
77136,Vega Sicilia Unico Reserva Especial Edición,,Espagne,Vega Sicilia,Tempranillo,4.7,450,3.673088,3.8557587,1.8294194,3.4753582,oak,earth,black_fruit
84065,Quintarelli Giuseppe Amarone della Valpolicella Classico 2018,2018,Italie,Quintarelli Giuseppe,Corvina;Rondinella;Corvinone,4.7,336.9,2.376436,4.5893106,3.296856,2.3094838,oak,black_fruit,earth
89750,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2018,2018,Italie,Dal Forno Romano,Corvina;Rondinella;Corvinone,4.7,362,2.2603345,4.8126674,3.3286376,2.5131507,oak,black_fruit,earth
84140,Bodegas El Nido El Nido 2023,2023,Espagne,Bodegas El Nido,Grenache;Tempranillo,4.7,345,2.985122,4.1895638,2.1164188,3.0157588,oak,black_fruit,earth
5078,Tenuta San Guido Sassicaia 2016,2016,Italie,Tenuta San Guido,Cabernet Sauvignon;Merlot;Sangiovese,4.7,802,3.4880602,3.786375,1.7107729,3.8764603,oak,black_fruit,earth
1911534,Opus One Opus One 2015,2015,États-Unis,Opus One,Cabernet Sauvignon,4.7,628.52,3.7885678,4.606588,1.6717541,3.3381069,oak,black_fruit,earth
1139435,Pago de Carraovejas Cuesta de Las Liebres 2021,2021,Espagne,Pago de Carraovejas,Tempranillo,4.7,180.7,3.4547684,3.9295685,2.0097303,3.419525,oak,black_fruit,earth
1911534,Opus One Opus One 2016,2016,États-Unis,Opus One,Cabernet Sauvignon,4.7,561.3,3.7885678,4.606588,1.6717541,3.3381069,oak,black_fruit,earth
1911534,Opus One Opus One 2017,2017,États-Unis,Opus One,Cabernet Sauvignon,4.7,995.4,3.7885678,4.606588,1.6717541,3.3381069,oak,black_fruit,earth
5078,Tenuta San Guido Sassicaia 2006,2006,Italie,Tenuta San Guido,Cabernet Sauvignon;Merlot;Sangiovese,4.7,591.05,3.4880602,3.786375,1.7107729,3.8764603,oak,black_fruit,earth
77137,Vega Sicilia Unico (Gran Reserva) 2006,2006,Espagne,Vega Sicilia,Tempranillo,4.7,671,3.6914136,3.8389153,1.7930348,3.413464,oak,earth,black_fruit
77137,Vega Sicilia Unico (Gran Reserva) 2004,2004,Espagne,Vega Sicilia,Tempranillo,4.7,2390,3.6914136,3.8389153,1.7930348,3.413464,oak,earth,black_fruit
1194532,Quintarelli Giuseppe Veneto Alzero Cabernet 2017,2017,Italie,Quintarelli Giuseppe,Le nebbiolo;Barbera;Dolcetto,4.7,454.25,2.3467934,4.112101,2.6985724,2.9447627,oak,black_fruit,earth
1684223,Château Mouton Rothschild Pauillac (Premier Grand Cru Classé) 2001,2001,France,Château Mouton Rothschild,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,761.3,4.0720596,4.0416613,1.7246253,4.0929627,oak,earth,black_fruit
1684223,Château Mouton Rothschild Pauillac (Premier Grand Cru Classé) 2005,2005,France,Château Mouton Rothschild,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,1081.5,4.0720596,4.0416613,1.7246253,4.0929627,oak,earth,black_fruit
1651,Antinori Tenuta Tignanello 'Solaia' 2015,2015,Italie,Antinori,Cabernet Sauvignon;Merlot;Sangiovese;Canaiolo nero,4.7,710,3.0720334,3.4829996,1.894674,2.9840398,oak,black_fruit,earth
1127795,Château Margaux Château Margaux (Premier Grand Cru Classé) 2004,2004,France,Château Margaux,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,645.2,4.143782,3.6663125,1.6232578,3.8105717,earth,oak,black_fruit
1684223,Château Mouton Rothschild Pauillac (Premier Grand Cru Classé) 1986,1986,France,Château Mouton Rothschild,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,917,4.0720596,4.0416613,1.7246253,4.0929627,oak,earth,black_fruit
67064,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2020,2020,Espagne,Álvaro Palacios,Syrah;Cabernet Sauvignon;Grenache;Carignan,4.7,1667,3.4764082,4.4486485,1.86717,3.3374186,oak,black_fruit,earth
67064,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2022,2022,Espagne,Álvaro Palacios,Syrah;Cabernet Sauvignon;Grenache;Carignan,4.7,1438.2,3.4764082,4.4486485,1.86717,3.3374186,oak,black_fruit,earth
1197490,Le Pin Pomerol 2019,2019,France,Le Pin,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,4146.91,3.3967118,4.123292,1.9154385,3.2801247,oak,black_fruit,earth
1197490,Le Pin Pomerol 2022,2022,France,Le Pin,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,6116.85,3.3967118,4.123292,1.9154385,3.2801247,oak,black_fruit,earth
1127795,Château Margaux Château Margaux (Premier Grand Cru Classé) 1995,1995,France,Château Margaux,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,971.3,4.143782,3.6663125,1.6232578,3.8105717,earth,oak,black_fruit
77137,Vega Sicilia Unico (Gran Reserva) 2009,2009,Espagne,Vega Sicilia,Tempranillo,4.7,956.25,3.6914136,3.8389153,1.7930348,3.413464,oak,earth,black_fruit
1684223,Château Mouton Rothschild Pauillac (Premier Grand Cru Classé) 1982,1982,France,Château Mouton Rothschild,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,1890,4.0720596,4.0416613,1.7246253,4.0929627,oak,earth,black_fruit
1645873,Bryant Family Vineyard Cabernet Sauvignon Proprietor Grown 2021,2021,États-Unis,Bryant Family Vineyard,Cabernet Sauvignon,4.7,1391.73,3.3355622,4.6223636,1.8188366,3.3759987,oak,black_fruit,earth
1645873,Bryant Family Vineyard Cabernet Sauvignon Proprietor Grown 2022,2022,États-Unis,Bryant Family Vineyard,Cabernet Sauvignon,4.7,1282.25,3.3355622,4.6223636,1.8188366,3.3759987,oak,black_fruit,earth
22447,Ornellaia Bolgheri Superiore 2007,2007,Italie,Ornellaia,Cabernet Sauvignon;Merlot;Sangiovese,4.7,603.75,3.4552977,3.8786452,1.7906333,3.8793378,oak,black_fruit,earth
1134333,BOND St. Eden 2020,2020,États-Unis,BOND,Cabernet Sauvignon,4.7,1425.6,3.5032923,4.6169643,1.8348408,3.561118,black_fruit,oak,earth
1655970,Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 2004,2004,France,Château Latour,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,713.3,4.11168,4.113471,1.6849622,4.1187057,oak,earth,black_fruit
1127795,Château Margaux Château Margaux (Premier Grand Cru Classé) 2006,2006,France,Château Margaux,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,644.1,4.143782,3.6663125,1.6232578,3.8105717,earth,oak,black_fruit
1127795,Château Margaux Château Margaux (Premier Grand Cru Classé) 1999,1999,France,Château Margaux,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,866.3,4.143782,3.6663125,1.6232578,3.8105717,earth,oak,black_fruit
1655970,Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 1996,1996,France,Château Latour,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,1290,4.11168,4.113471,1.6849622,4.1187057,oak,earth,black_fruit
1655970,Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 1990,1990,France,Château Latour,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,1360,4.11168,4.113471,1.6849622,4.1187057,oak,earth,black_fruit
3908,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1990,1990,France,Château Lafite Rothschild,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,1600,4.0885777,3.968687,1.688693,4.0844145,oak,earth,black_fruit
1145116,BOND Melbury 2020,2020,États-Unis,BOND,Cabernet Sauvignon,4.7,1425.6,3.4513535,4.645055,2.0370345,3.485622,oak,black_fruit,red_fruit
1145116,BOND Melbury 2019,2019,États-Unis,BOND,Cabernet Sauvignon,4.7,895,3.4513535,4.645055,2.0370345,3.485622,oak,black_fruit,red_fruit
3908,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1999,1999,France,Château Lafite Rothschild,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,1358.75,4.0885777,3.968687,1.688693,4.0844145,oak,earth,black_fruit
1684223,Château Mouton Rothschild Pauillac (Premier Grand Cru Classé) 2009,2009,France,Château Mouton Rothschild,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,4.7,990,4.0720596,4.0416613,1.7246253,4.0929627,oak,earth,black_fruit
16587,Joseph Phelps Vineyards Insignia 2016,2016,États-Unis,Joseph Phelps Vineyards,Cabernet Sauvignon,4.7,312.4,3.8050988,4.7518835,1.745856,3.4810383,oak,black_fruit,earth
74528,Bussola Amarone della Valpolicella Classico Vigneto Alto TB 2012,2012,Italie,Bussola,Corvina;Rondinella;Corvinone,4.7,268.4,2.078794,4.817986,3.3453355,2.305621,oak,black_fruit,dried_fruit
74528,Bussola Amarone della Valpolicella Classico Vigneto Alto TB 1997,1997,Italie,Bussola,Corvina;Rondinella;Corvinone,4.7,434.7,2.078794,4.817986,3.3453355,2.305621,oak,black_fruit,dried_fruit
